you	Y UW 
leave	L IY V 
keep	K IY P 
new	N UW 
told	T OW L D 
things	TH IH NG Z 
name	N EY M 
last	L AE S T 
father	F AA DH ER 
around	ER AW N D 
years	Y IH R Z 
does	D AH Z 
hello	HH AH L OW 
ever	EH V ER 
place	P L EY S 
big	B IH G 
nice	N AY S 
uh	AH 
feel	F IY L 
girl	G ER L 
stay	S T EY 
believe	B IH L IY V 
thanks	TH AE NG K S 
made	M EY D 
mother	M AH DH ER 
listen	L IH S AH N 
three	TH R IY 
may	M EY 
guy	G AY 
hear	HH IY R 
understand	AH N D ER S T AE N D 
shit	SH IH T 
coming	K AH M IH NG 
world	W ER L D 
enough	IH N AH F 
left	L EH F T 
fine	F AY N 
every	EH V ER IY 
ok	OW K EY 
remember	R IH M EH M B ER 
house	HH AW S 
course	K AO R S 
done	D AH N 
boy	B OY 
wrong	R AO NG 
bad	B AE D 
which	W IH CH 
woman	W UH M AH N 
another	AH N AH DH ER 
lot	L AA T 
kind	K AY N D 
wanted	W AO N T IH D 
through	TH R UW 
fuck	F AH K 
guys	G AY Z 
came	K EY M 
ask	AE S K 
kill	K IH L 
son	S AH N 
today	T AH D EY 
dead	D EH D 
show	SH OW 
own	OW N 
happened	HH AE P AH N D 
care	K EH R 
mind	M AY N D 
someone	S AH M W AH N 
try	T R AY 
hi	HH AY 
being	B IY IH NG 
same	S EY M 
car	K AA R 
yourself	Y ER S EH L F 
might	M AY T 
dad	D AE D 
miss	M IH S 
morning	M AO R N IH NG 
else	EH L S 
hell	HH EH L 
many	M EH N IY 
men	M EH N 
friend	F R EH N D 
baby	B EY B IY 
next	N EH K S T 
talking	T AO K IH NG 
move	M UW V 
fucking	F AH K IH NG 
huh	HH AH 
live	L AY V 
looking	L UH K IH NG 
hold	HH OW L D 
real	R IY L 
getting	G EH T IH NG 
without	W IH TH AW T 
saw	S AO 
went	W EH N T 
seen	S IY N 
room	R UW M 
best	B EH S T 
wanna	W AA N AH 
together	T AH G EH DH ER 
found	F AW N D 
tomorrow	T AH M AA R OW 
wife	W AY F 
job	JH AA B 
once	W AH N S 
gotta	G AA T AH 
such	S AH CH 
matter	M AE T ER 
head	HH EH D 
most	M OW S T 
heard	HH ER D 
alone	AH L OW N 
ready	R EH D IY 
haven	HH EY V AH N 
happy	HH AE P IY 
already	AO L R EH D IY 
days	D EY Z 
brother	B R AH DH ER 
run	R AH N 
play	P L EY 
tonight	T AH N AY T 
door	D AO R 
bring	B R IH NG 
mom	M AA M 
myself	M AY S EH L F 
open	OW P AH N 
yet	Y EH T 
trying	T R AY IH NG 
knew	N UW 
whole	HH OW L 
meet	M IY T 
excuse	IH K S K Y UW S 
family	F AE M AH L IY 
used	Y UW Z D 
while	W AY L 
die	D AY 
use	Y UW S 
start	S T AA R T 
took	T UH K 
pretty	P R IH T IY 
gone	G AO N 
called	K AO L D 
idea	AY D IY AH 
since	S IH N S 
watch	W AA CH 
turn	T ER N 
hope	HH OW P 
year	Y IH R 
guess	G EH S 
end	EH N D 
sit	S IH T 
beautiful	B Y UW T AH F AH L 
hard	HH AA R D 
says	S EH Z 
hand	HH AE N D 
bit	B IH T 
school	S K UW L 
both	B OW TH 
worry	W ER IY 
s	EH S 
minute	M IH N AH T 
true	T R UW 
friends	F R EH N D Z 
face	F EY S 
soon	S UW N 
lost	L AO S T 
forget	F ER G EH T 
bye	B AY 
young	Y AH NG 
business	B IH Z N AH S 
five	F AY V 
killed	K IH L D 
heart	HH AA R T 
few	F Y UW 
problem	P R AA B L AH M 
wants	W AA N T S 
later	L EY T ER 
eat	IY T 
everyone	EH V R IY W AH N 
drink	D R IH NG K 
damn	D AE M 
ago	AH G OW 
shut	SH AH T 
pay	P EY 
police	P AH L IY S 
everybody	EH V R IY B AA D IY 
each	IY CH 
water	W AO T ER 
anyone	EH N IY W AH N 
dear	D IH R 
also	AO L S OW 
shall	SH AE L 
looks	L UH K S 
saying	S EY IH NG 
until	AH N T IH L 
crazy	K R EY Z IY 
late	L EY T 
phone	F OW N 
eyes	AY Z 
kid	K IH D 
easy	IY Z IY 
ah	AA 
sleep	S L IY P 
mine	M AY N 
afraid	AH F R EY D 
doctor	D AA K T ER 
death	D EH TH 
nobody	N OW B AA D IY 
four	F AO R 
under	AH N D ER 
second	S EH K AH N D 
music	M Y UW Z IH K 
somebody	S AH M B AA D IY 
t	T IY 
change	CH EY N JH 
far	F AA R 
hands	HH AE N D Z 
aren	AA R AH N 
kids	K IH D Z 
knows	N OW Z 
actually	AE K CH UW AH L IY 
hit	HH IH T 
children	CH IH L D R AH N 
case	K EY S 
thinking	TH IH NG K IH NG 
waiting	W EY T IH NG 
its	IH T S 
gave	G EY V 
read	R EH D 
times	T AY M Z 
minutes	M IH N AH T S 
speak	S P IY K 
anyway	EH N IY W EY 
stand	S T AE N D 
part	P AA R T 
wish	W IH SH 
word	W ER D 
having	HH AE V IH NG 
cut	K AH T 
stuff	S T AH F 
comes	K AH M Z 
war	W AO R 
married	M EH R IY D 
number	N AH M B ER 
happen	HH AE P AH N 
hurry	HH ER IY 
fire	F AY ER 
quite	K W AY T 
fight	F AY T 
rest	R EH S T 
close	K L OW S 
l	EH L 
check	CH EH K 
inside	IH N S AY D 
hurt	HH ER T 
half	HH AE F 
probably	P R AA B AH B L IY 
mr	M IH S T ER 
moment	M OW M AH N T 
against	AH G EH N S T 
girls	G ER L Z 
makes	M EY K S 
working	W ER K IH NG 
exactly	IH G Z AE K T L IY 
lady	L EY D IY 
women	W IH M AH N 
asked	AE S K T 
set	S EH T 
boys	B OY Z 
taking	T EY K IH NG 
husband	HH AH Z B AH N D 
story	S T AO R IY 
town	T AW N 
chance	CH AE N S 
child	CH AY L D 
ass	AE S 
yours	Y UH R Z 
important	IH M P AO R T AH N T 
whatever	W AH T EH V ER 
different	D IH F ER AH N T 
trouble	T R AH B AH L 
lord	L AO R D 
point	P OY N T 
deal	D IY L 
sister	S IH S T ER 
goes	G OW Z 
o	OW 
party	P AA R T IY 
week	W IY K 
walk	W AO K 
daughter	D AO T ER 
means	M IY N Z 
honey	HH AH N IY 
dog	D AO G 
shot	SH AA T 
high	HH AY 
bed	B EH D 
gun	G AH N 
game	G EY M 
person	P ER S AH N 
body	B AA D IY 
break	B R EY K 
free	F R IY 
captain	K AE P T AH N 
making	M EY K IH NG 
side	S AY D 
anymore	EH N IY M AO R 
country	K AH N T R IY 
fun	F AH N 
almost	AO L M OW S T 
buy	B AY 
least	L IY S T 
truth	T R UW TH 
six	S IH K S 
along	AH L AO NG 
met	M EH T 
city	S IH T IY 
behind	B IH HH AY N D 
send	S EH N D 
though	DH OW 
hours	AW ER Z 
between	B IH T W IY N 
blood	B L AH D 
light	L AY T 
supposed	S AH P OW Z D 
stupid	S T UW P AH D 
brought	B R AO T 
died	D AY D 
gets	G EH T S 
funny	F AH N IY 
ahead	AH HH EH D 
answer	AE N S ER 
full	F UH L 
welcome	W EH L K AH M 
started	S T AA R T AH D 
black	B L AE K 
question	K W EH S CH AH N 
line	L AY N 
front	F R AH N T 
bitch	B IH CH 
hate	HH EY T 
um	AH M 
shoot	SH UW T 
white	W AY T 
poor	P UW R 
hot	HH AA T 
order	AO R D ER 
anybody	EH N IY B AH D IY 
jesus	JH IY Z AH S 
ha	HH AA 
sometimes	S AH M T AY M Z 
reason	R IY Z AH N 
king	K IH NG 
tried	T R AY D 
seems	S IY M Z 
either	IY DH ER 
outside	AW T S AY D 
m	EH M 
couple	K AH P AH L 
ma	M AA 
trust	T R AH S T 
months	M AH N TH S 
alive	AH L AY V 
hour	AW ER 
pick	P IH K 
able	EY B AH L 
sick	S IH K 
perhaps	P ER HH AE P S 
save	S EY V 
clear	K L IH R 
office	AO F AH S 
gentlemen	JH EH N T AH L M IH N 
john	JH AA N 
become	B IH K AH M 
book	B UH K 
living	L IH V IH NG 
playing	P L EY IH NG 
food	F UW D 
daddy	D AE D IY 
telling	T EH L IH NG 
cool	K UW L 
dance	D AE N S 
red	R EH D 
news	N UW Z 
leaving	L IY V IH NG 
lose	L UW Z 
cold	K OW L D 
promise	P R AA M AH S 
evening	IY V N IH NG 
touch	T AH CH 
power	P AW ER 
scared	S K EH R D 
boss	B AA S 
fact	F AE K T 
dinner	D IH N ER 
jack	JH AE K 
master	M AE S T ER 
uncle	AH NG K AH L 
himself	HH IH M S EH L F 
small	S M AO L 
darling	D AA R L IH NG 
quiet	K W AY AH T 
write	R AY T 
hmm	HH AH M 
taken	T EY K AH N 
luck	L AH K 
ten	T EH N 
sent	S EH N T 
feeling	F IY L IH NG 
cannot	K AE N AA T 
air	EH R 
earth	ER TH 
glad	G L AE D 
law	L AO 
till	T IH L 
serious	S IH R IY AH S 
wonderful	W AH N D ER F AH L 
needs	N IY D Z 
dream	D R IY M 
street	S T R IY T 
drive	D R AY V 
hair	HH EH R 
sort	S AO R T 
others	AH DH ER Z 
running	R AH N IH NG 
bet	B EH T 
lives	L IH V Z 
company	K AH M P AH N IY 
follow	F AA L OW 
whoa	W OW 
special	S P EH SH AH L 
fast	F AE S T 
sound	S AW N D 
sweet	S W IY T 
catch	K AE CH 
words	W ER D Z 
careful	K EH R F AH L 
human	HH Y UW M AH N 
d	D IY 
goodbye	G UH D B AY 
safe	S EY F 
perfect	P ER F EH K T 
hang	HH AE NG 
beat	B IY T 
million	M IH L Y AH N 
rather	R AE DH ER 
happens	HH AE P AH N Z 
top	T AA P 
parents	P EH R AH N T S 
alright	AO L R AY T 
plan	P L AE N 
seem	S IY M 
ya	Y AA 
general	JH EH N ER AH L 
known	N OW N 
coffee	K AA F IY 
ladies	L EY D IY Z 
wow	W AW 
lucky	L AH K IY 
win	W IH N 
possible	P AA S AH B AH L 
past	P AE S T 
calm	K AA M 
pull	P UH L 
lie	L AY 
y	W AY 
sign	S AY N 
control	K AH N T R OW L 
return	R IH T ER N 
straight	S T R EY T 
fall	F AO L 
team	T IY M 
longer	L AO NG G ER 
laughing	L AE F IH NG 
kiss	K IH S 
asking	AE S K IH NG 
tired	T AY ER D 
feet	F IY T 
learn	L ER N 
drop	D R AA P 
e	IY 
mad	M AE D 
suppose	S AH P OW Z 
quick	K W IH K 
wake	W EY K 
strange	S T R EY N JH 
marry	M EH R IY 
train	T R EY N 
throw	TH R OW 
loved	L AH V D 
road	R OW D 
sounds	S AW N D Z 
land	L AE N D 
felt	F EH L T 
somewhere	S AH M W EH R 
picture	P IH K CH ER 
step	S T EH P 
president	P R EH Z IH D AH N T 
eye	AY 
hospital	HH AA S P IH T AH L 
piece	P IY S 
weeks	W IY K S 
secret	S IY K R AH T 
sense	S EH N S 
forgive	F ER G IH V 
takes	T EY K S 
pass	P AE S 
voice	V OY S 
clean	K L IY N 
looked	L UH K T 
calling	K AO L IH NG 
wonder	W AH N D ER 
song	S AO NG 
fault	F AO L T 
changed	CH EY N JH D 
state	S T EY T 
seven	S EH V AH N 
born	B AO R N 
less	L EH S 
film	F IH L M 
ride	R AY D 
explain	IH K S P L EY N 
joe	JH OW 
meeting	M IY T IH NG 
class	K L AE S 
act	AE K T 
none	N AH N 
given	G IH V AH N 
finally	F AY N AH L IY 
fool	F UW L 
yesterday	Y EH S T ER D EY 
la	L AA 
early	ER L IY 
worth	W ER TH 
ones	W AH N Z 
tv	T IY V IY 
future	F Y UW CH ER 
sex	S EH K S 
strong	S T R AO NG 
army	AA R M IY 
mouth	M AW TH 
moving	M UW V IH NG 
george	JH AO R JH 
frank	F R AE NG K 
sing	S IH NG 
bastard	B AE S T ER D 
sun	S AH N 
certainly	S ER T AH N L IY 
american	AH M EH R IH K AH N 
chief	CH IY F 
worked	W ER K T 
clothes	K L OW DH Z 
horse	HH AO R S 
report	R IY P AO R T 
christmas	K R IH S M AH S 
sell	S EH L 
mama	M AA M AH 
turned	T ER N D 
questions	K W EH S CH AH N Z 
dark	D AA R K 
absolutely	AE B S AH L UW T L IY 
peace	P IY S 
month	M AH N TH 
movie	M UW V IY 
lovely	L AH V L IY 
boat	B OW T 
blue	B L UW 
seeing	S IY IH NG 
hotel	HH OW T EH L 
speaking	S P IY K IH NG 
eight	EY T 
eh	EH 
york	Y AO R K 
ship	SH IH P 
rock	R AA K 
continues	K AH N T IH N Y UW Z 
sam	S AE M 
age	EY JH 
christ	K R AY S T 
murder	M ER D ER 
finish	F IH N IH SH 
letter	L EH T ER 
court	K AO R T 
works	W ER K S 
swear	S W EH R 
expect	IH K S P EH K T 
bill	B IH L 
finished	F IH N IH SH T 
giving	G IH V IH NG 
officer	AO F AH S ER 
present	P R EH Z AH N T 
near	N IH R 
worse	W ER S 
busy	B IH Z IY 
pain	P EY N 
kept	K EH P T 
ball	B AO L 
terrible	T EH R AH B AH L 
fear	F IH R 
floor	F L AO R 
laughs	L AE F S 
wear	W EH R 
kidding	K IH D IH NG 
sea	S IY 
fly	F L AY 
imagine	IH M AE JH AH N 
forever	F ER EH V ER 
count	K AW N T 
gold	G OW L D 
charlie	CH AA R L IY 
forgot	F ER G AA T 
radio	R EY D IY OW 
attention	AH T EH N SH AH N 
decided	D IH S AY D IH D 
idiot	IH D IY AH T 
french	F R EH N CH 
goddamn	G AA D AE M 
mistake	M IH S T EY K 
caught	K AA T 
birthday	B ER TH D EY 
short	SH AO R T 
happening	HH AE P AH N IH NG 
afternoon	AE F T ER N UW N 
soul	S OW L 
figure	F IH G Y ER 
paid	P EY D 
station	S T EY SH AH N 
simple	S IH M P AH L 
bag	B AE G 
tom	T AA M 
fish	F IH SH 
date	D EY T 
rich	R IH CH 
blow	B L OW 
paul	P AO L 
broke	B R OW K 
miles	M AY L Z 
during	D UH R IH NG 
ring	R IH NG 
choice	CH OY S 
bank	B AE NG K 
david	D EY V IH D 
relax	R IH L AE K S 
except	IH K S EH P T 
ooh	UW 
attack	AH T AE K 
join	JH OY N 
wedding	W EH D IH NG 
worried	W ER IY D 
table	T EY B AH L 
completely	K AH M P L IY T L IY 
across	AH K R AO S 
mary	M EH R IY 
paper	P EY P ER 
star	S T AA R 
message	M EH S AH JH 
pleasure	P L EH ZH ER 
dude	D UW D 
building	B IH L D IH NG 
watching	W AA CH IH NG 
chuckles	CH AH K AH L Z 
stick	S T IH K 
dangerous	D EY N JH ER AH S 
america	AH M EH R IH K AH 
meant	M EH N T 
round	R AW N D 
honor	AA N ER 
fair	F EH R 
ls	EH L EH S 
hungry	HH AH NG G R IY 
middle	M IH D AH L 
de	D IY 
thinks	TH IH NG K S 
buddy	B AH D IY 
lying	L AY IH NG 
unless	AH N L EH S 
drunk	D R AH NG K 
instead	IH N S T EH D 
government	G AH V ER N M AH N T 
re	R EY 
spend	S P EH N D 
certain	S ER T AH N 
major	M EY JH ER 
charge	CH AA R JH 
needed	N IY D AH D 
deep	D IY P 
hide	HH AY D 
hundred	HH AH N D R AH D 
english	IH NG G L IH SH 
handle	HH AE N D AH L 
bought	B AA T 
key	K IY 
cry	K R AY 
history	HH IH S T ER IY 
interested	IH N T AH R EH S T IH D 
trip	T R IH P 
lead	L EH D 
window	W IH N D OW 
lieutenant	L UW T EH N AH N T 
michael	M AY K AH L 
enjoy	EH N JH OY 
system	S IH S T AH M 
sake	S EY K 
fell	F EH L 
anywhere	EH N IY W EH R 
quickly	K W IH K L IY 
cover	K AH V ER 
sitting	S IH T IH NG 
ran	R AE N 
church	CH ER CH 
surprise	S ER P R AY Z 
colonel	K ER N AH L 
carry	K AE R IY 
situation	S IH CH UW EY SH AH N 
tea	T IY 
smart	S M AA R T 
yo	Y OW 
force	F AO R S 
teach	T IY CH 
interesting	IH N T AH R EH S T IH NG 
information	IH N F AO R M EY SH AH N 
problems	P R AA B L AH M Z 
paris	P EH R IH S 
professor	P R AH F EH S ER 
box	B AA K S 
holy	HH OW L IY 
often	AO F T AH N 
plane	P L EY N 
dress	D R EH S 
lunch	L AH N CH 
thousand	TH AW Z AH N D 
smell	S M EH L 
missing	M IH S IH NG 
third	TH ER D 
ground	G R AW N D 
crying	K R AY IH NG 
talked	T AO K T 
service	S ER V AH S 
respect	R IH S P EH K T 
ice	AY S 
accident	AE K S AH D AH N T 
stopped	S T AA P T 
tough	T AH F 
heaven	HH EH V AH N 
proud	P R AW D 
laugh	L AE F 
security	S IH K Y UH R AH T IY 
sad	S AE D 
sighs	S AY Z 
lived	L IH V D 
art	AA R T 
difficult	D IH F AH K AH L T 
harry	HH EH R IY 
mark	M AA R K 
single	S IH NG G AH L 
dare	D EH R 
c	S IY 
group	G R UW P 
record	R AH K AO R D 
wind	W AY N D 
cops	K AA P S 
fix	F IH K S 
club	K L AH B 
upon	AH P AA N 
marriage	M EH R IH JH 
mike	M AY K 
mess	M EH S 
besides	B IH S AY D Z 
fighting	F AY T IH NG 
impossible	IH M P AA S AH B AH L 
forward	F AO R W ER D 
quit	K W IH T 
entire	IH N T AY ER 
wine	W AY N 
normal	N AO R M AH L 
visit	V IH Z IH T 
offer	AO F ER 
public	P AH B L IH K 
missed	M IH S T 
screaming	S K R IY M IH NG 
prison	P R IH Z AH N 
smoke	S M OW K 
killing	K IH L IH NG 
agree	AH G R IY 
saved	S EY V D 
river	R IH V ER 
broken	B R OW K AH N 
neither	N IY DH ER 
whether	W EH DH ER 
madam	M AE D AH M 
weird	W IH R D 
green	G R IY N 
bloody	B L AH D IY 
arms	AA R M Z 
evil	IY V AH L 
asshole	AE S HH OW L 
south	S AW TH 
bob	B AA B 
wall	W AO L 
bar	B AA R 
fat	F AE T 
il	IH L 
judge	JH AH JH 
orders	AO R D ER Z 
seat	S IY T 
bear	B EH R 
wrote	R OW T 
queen	K W IY N 
slow	S L OW 
cause	K AA Z 
dreams	D R IY M Z 
loves	L AH V Z 
teacher	T IY CH ER 
cop	K AA P 
standing	S T AE N D IH NG 
liked	L AY K T 
north	N AO R TH 
glass	G L AE S 
protect	P R AH T EH K T 
accept	AE K S EH P T 
dirty	D ER T IY 
beginning	B IH G IH N IH NG 
difference	D IH F ER AH N S 
cross	K R AO S 
angry	AE NG G R IY 
machine	M AH SH IY N 
scene	S IY N 
amazing	AH M EY Z IH NG 
double	D AH B AH L 
share	SH EH R 
totally	T OW T AH L IY 
honest	AA N AH S T 
moon	M UW N 
personal	P ER S IH N AH L 
private	P R AY V AH T 
joke	JH OW K 
realize	R IY AH L AY Z 
beer	B IH R 
space	S P EY S 
position	P AH Z IH SH AH N 
jump	JH AH M P 
whose	HH UW Z 
jail	JH EY L 
area	EH R IY AH 
promised	P R AA M AH S T 
tree	T R IY 
foot	F UH T 
continue	K AH N T IH N Y UW 
test	T EH S T 
cat	K AE T 
dying	D AY IH NG 
within	W IH DH IH N 
singing	S IH NG IH NG 
ought	AO T 
brain	B R EY N 
sergeant	S AA R JH AH N T 
nine	N AY N 
village	V IH L AH JH 
peter	P IY T ER 
wearing	W EH R IH NG 
ln	L EY N 
walking	W AO K IH NG 
field	F IY L D 
dollars	D AA L ER Z 
bother	B AA DH ER 
girlfriend	G ER L F R EH N D 
bus	B AH S 
crime	K R AY M 
congratulations	K AH N G R AE CH AH L EY SH AH N Z 
lots	L AA T S 
doubt	D AW T 
camera	K AE M ER AH 
became	B IH K EY M 
german	JH ER M AH N 
books	B UH K S 
gives	G IH V Z 
shoes	SH UW Z 
truck	T R AH K 
ben	B EH N 
kick	K IH K 
card	K AA R D 
cash	K AE SH 
sleeping	S L IY P IH NG 
push	P UH SH 
moved	M UW V D 
likes	L AY K S 
calls	K AO L Z 
cute	K Y UW T 
max	M AE K S 
park	P AA R K 
apartment	AH P AA R T M AH N T 
bullshit	B UH L SH IH T 
evidence	EH V AH D AH N S 
store	S T AO R 
grow	G R OW 
owe	OW 
especially	AH S P EH SH L IY 
aunt	AE N T 
reach	R IY CH 
guard	G AA R D 
spent	S P EH N T 
summer	S AH M ER 
enemy	EH N AH M IY 
rules	R UW L Z 
ho	HH OW 
duty	D UW T IY 
island	AY L AH N D 
seconds	S EH K AH N D Z 
n	EH N 
johnny	JH AA N IY 
eating	IY T IH NG 
smile	S M AY L 
staying	S T EY IH NG 
silly	S IH L IY 
san	S AE N 
folks	F OW K S 
suddenly	S AH D AH N L IY 
knock	N AA K 
pardon	P AA R D AH N 
everywhere	EH V R IY W EH R 
crowd	K R AW D 
henry	HH EH N R IY 
beg	B EH G 
stuck	S T AH K 
action	AE K SH AH N 
upset	AH P S EH T 
driving	D R AY V IH NG 
seriously	S IH R IY AH S L IY 
begin	B IH G IH N 
starting	S T AA R T IH NG 
prove	P R UW V 
feels	F IY L Z 
grand	G R AE N D 
using	Y UW Z IH NG 
guns	G AH N Z 
legs	L EH G Z 
nose	N OW Z 
pictures	P IH K CH ER Z 
rid	R IH D 
brothers	B R AH DH ER Z 
mum	M AH M 
list	L IH S T 
sky	S K AY 
immediately	IH M IY D IY AH T L IY 
definitely	D EH F AH N AH T L IY 
college	K AA L IH JH 
shop	SH AA P 
arm	AA R M 
escape	IH S K EY P 
listening	L IH S AH N IH NG 
mommy	M AA M IY 
gas	G AE S 
low	L OW 
jimmy	JH IH M IY 
self	S EH L F 
hat	HH AE T 
hole	HH OW L 
ray	R EY 
bell	B EH L 
price	P R AY S 
cell	S EH L 
rain	R EY N 
arrived	ER AY V D 
warm	W AO R M 
west	W EH S T 
passed	P AE S T 
board	B AO R D 
boyfriend	B OY F R EH N D 
nervous	N ER V AH S 
ourselves	AW ER S EH L V Z 
london	L AH N D AH N 
contact	K AA N T AE K T 
nor	N AO R 
lawyer	L AO Y ER 
upstairs	AH P S T EH R Z 
lay	L EY 
closed	K L OW Z D 
goin	G OY N 
devil	D EH V AH L 
gift	G IH F T 
favor	F EY V ER 
tony	T OW N IY 
jim	JH IH M 
empty	EH M P T IY 
prince	P R IH N S 
papa	P AA P AH 
suit	S UW T 
press	P R EH S 
themselves	DH EH M S EH L V Z 
writing	R AY T IH NG 
asleep	AH S L IY P 
type	T AY P 
grab	G R AE B 
spirit	S P IH R AH T 
burn	B ER N 
arrest	ER EH S T 
band	B AE N D 
papers	P EY P ER Z 
indeed	IH N D IY D 
majesty	M AE JH AH S T IY 
pop	P AA P 
played	P L EY D 
involved	IH N V AA L V D 
dogs	D AA G Z 
agent	EY JH AH N T 
above	AH B AH V 
wild	W AY L D 
further	F ER DH ER 
nick	N IH K 
race	R EY S 
mrs	M IH S IH Z 
spot	S P AA T 
fellow	F EH L OW 
blind	B L AY N D 
whom	HH UW M 
leg	L EH G 
awful	AO F AH L 
killer	K IH L ER 
appreciate	AH P R IY SH IY EY T 
flowers	F L AW ER Z 
fit	F IH T 
aye	AY 
beauty	B Y UW T IY 
written	R IH T AH N 
partner	P AA R T N ER 
twenty	T W EH N T IY 
bird	B ER D 
dick	D IH K 
named	N EY M D 
lock	L AA K 
blame	B L EY M 
otherwise	AH DH ER W AY Z 
heavy	HH EH V IY 
drinking	D R IH NG K IH NG 
choose	CH UW Z 
allow	AH L AW 
twice	T W AY S 
shouting	SH AW T IH NG 
magic	M AE JH IH K 
waste	W EY S T 
address	AE D R EH S 
plenty	P L EH N T IY 
raise	R EY Z 
flying	F L AY IH NG 
notice	N OW T AH S 
learned	L ER N D 
gasps	G AE S P S 
mission	M IH SH AH N 
doc	D AA K 
decide	D IH S AY D 
aah	AA 
taste	T EY S T 
flight	F L AY T 
picked	P IH K T 
billy	B IH L IY 
gay	G EY 
kitchen	K IH CH AH N 
experience	IH K S P IH R IY AH N S 
fresh	F R EH SH 
chicken	CH IH K AH N 
cost	K AA S T 
nature	N EY CH ER 
fucked	F AH K T 
hero	HH IH R OW 
shooting	SH UW T IH NG 
breakfast	B R EH K F AH S T 
james	JH EY M Z 
holding	HH OW L D IH NG 
places	P L EY S AH Z 
planet	P L AE N AH T 
allowed	AH L AW D 
search	S ER CH 
however	HH AW EH V ER 
battle	B AE T AH L 
putting	P AH T IH NG 
crap	K R AE P 
steal	S T IY L 
usually	Y UW ZH AH W AH L IY 
lights	L AY T S 
neck	N EH K 
eddie	EH D IY 
mate	M EY T 
hardly	HH AA R D L IY 
sold	S OW L D 
decision	D IH S IH ZH AH N 
ow	OW 
destroy	D IH S T R OY 
sweetheart	S W IY T HH AA R T 
famous	F EY M AH S 
study	S T AH D IY 
animals	AE N AH M AH L Z 
simply	S IH M P L IY 
keys	K IY Z 
language	L AE NG G W AH JH 
princess	P R IH N S EH S 
memory	M EH M ER IY 
names	N EY M Z 
worst	W ER S T 
throat	TH R OW T 
herself	HH ER S EH L F 
interest	IH N T AH R EH S T 
faith	F EY TH 
b	B IY 
guilty	G IH L T IY 
ways	W EY Z 
shame	SH EY M 
director	D ER EH K T ER 
stone	S T OW N 
innocent	IH N AH S AH N T 
bottle	B AA T AH L 
states	S T EY T S 
mister	M IH S T ER 
pray	P R EY 
bunch	B AH N CH 
camp	K AE M P 
starts	S T AA R T S 
seemed	S IY M D 
necessary	N EH S AH S EH R IY 
form	F AO R M 
department	D IH P AA R T M AH N T 
bomb	B AA M 
